Car_Type,Duration_Days,Total_Distance_km,Num_Passengers,Package_Level,Start_Region,Season_Index,Car_Age_Years,Total_Cost
Sedan,5,1413,7,VIP,Suburban,2,1,2525.16
Luxury,4,1381,4,Basic,Suburban,3,7,1812.39
Hatchback,6,2342,1,VIP,Suburban,1,4,2856.47
Sedan,14,1588,9,Basic,Suburban,2,5,2631.56
Mini Bus,19,610,4,Premium,Suburban,1,5,1946.89
Luxury,9,1149,9,Premium,Suburban,3,1,2329.45
Sedan,12,1953,6,VIP,Airport,2,6,2911.08
Sedan,11,224,1,Basic,Suburban,1,9,902.42
Hatchback,14,2206,3,VIP,City,2,2,3461.45
Mini Bus,16,2280,2,VIP,Airport,2,7,3452.4
Van,1,241,9,Basic,City,2,6,494.63
Van,13,114,1,VIP,Suburban,2,5,1405.51
Sedan,13,1547,9,Premium,City,2,4,2612.78
SUV,2,1617,9,VIP,Suburban,2,4,2187.24
Mini Bus,4,2961,8,Basic,Suburban,2,6,3215.41
Luxury,6,1201,8,Basic,Airport,3,4,2191.78
SUV,5,1987,1,Premium,Airport,3,5,2498.88
SUV,3,418,8,Basic,Suburban,2,6,547.94
Mini Bus,1,900,3,Basic,Airport,2,5,1002.9
Sedan,4,92,7,Premium,City,3,7,874.85
Sedan,2,1957,1,VIP,Airport,3,9,2145.88
Sedan,5,2585,1,Premium,Airport,3,7,3046.23
Sedan,3,127,5,VIP,City,2,7,803.36
Van,9,2923,5,Premium,Airport,1,4,3654.66
Sedan,6,1874,8,VIP,Suburban,1,1,2674.54
Van,18,1343,7,Premium,City,1,8,2487.29
Van,6,723,8,VIP,Suburban,1,4,1668.5
Sedan,19,750,6,Premium,City,2,1,2389.1
Hatchback,12,808,6,VIP,Suburban,1,5,1944.04
Luxury,11,1973,2,Premium,Suburban,3,8,2933.98
SUV,2,2825,6,Basic,Airport,3,4,3135
Van,15,951,5,VIP,Suburban,1,8,1892.11
Mini Bus,12,2986,3,Premium,Airport,3,8,3838.29
Mini Bus,12,1042,6,VIP,City,2,3,2396.68
Luxury,9,1241,8,VIP,Suburban,1,9,2214.09
Mini Bus,2,2436,9,Premium,Suburban,1,3,2699.64
Hatchback,3,2290,1,VIP,City,2,1,2879.98
Mini Bus,12,1526,3,Premium,City,3,2,2651.8
SUV,16,2380,3,Basic,Suburban,2,6,3162.08
SUV,1,439,8,VIP,City,2,2,1308.71
Van,3,1049,1,Basic,Airport,3,6,1300.11
Sedan,2,574,5,VIP,City,2,1,1474.93
Hatchback,9,1905,3,VIP,City,3,1,2895.36
Van,19,1556,2,VIP,Suburban,3,5,2930.13
Hatchback,15,708,8,Premium,Airport,2,9,1853.09
Sedan,18,2813,3,Basic,City,3,8,3824.53
Mini Bus,11,940,7,VIP,Airport,2,3,2121.9
Mini Bus,16,1531,1,Premium,Airport,3,3,2430.17
Sedan,17,501,6,VIP,Airport,1,1,2161.94
Van,5,2525,3,Premium,Suburban,3,3,3127.98
Sedan,12,1587,8,VIP,City,3,1,3085.76
Luxury,11,932,6,Basic,Suburban,2,8,1633.14
SUV,15,362,2,Basic,City,3,1,1578.59
Van,3,889,6,VIP,City,1,5,1657.94
Hatchback,1,2616,7,Premium,Suburban,1,9,2465.35
Luxury,16,424,5,VIP,Airport,3,7,1881.95
Van,2,500,3,Premium,Airport,3,4,1062.08
Sedan,2,644,4,VIP,City,1,9,1087.32
Sedan,3,1283,4,Premium,Suburban,2,9,1600.07
Sedan,8,549,6,Basic,Airport,1,2,1173.46
Sedan,15,513,1,VIP,Airport,1,6,1846.81
Hatchback,7,162,4,Basic,City,3,4,916.03
Luxury,6,1085,4,Basic,City,3,8,1346.34
Mini Bus,9,2428,1,VIP,Suburban,1,7,3060.3
SUV,1,1974,9,VIP,City,2,7,2483.63
Hatchback,8,189,4,Premium,Airport,1,9,1050.39
Hatchback,3,1474,7,Premium,Airport,1,5,1935.65
Mini Bus,4,2999,3,Basic,Airport,2,6,2936.26
Mini Bus,15,566,3,Premium,Airport,1,1,1655.77
SUV,6,2666,8,Premium,Suburban,1,6,3280.45
SUV,15,1997,8,VIP,Suburban,3,2,3420.96
Mini Bus,3,2943,1,Premium,City,2,6,2917.75
Sedan,14,2215,2,Basic,City,3,9,3078.56
Hatchback,14,937,8,Premium,City,3,8,2086.21
Van,4,1391,1,Basic,Suburban,2,9,1625.54
SUV,12,99,8,VIP,Airport,2,8,1229.33
SUV,17,68,8,Basic,City,1,3,1583.06
Mini Bus,7,775,2,Premium,Airport,3,8,1532.15
Luxury,9,2294,4,VIP,City,2,6,3017.88
Van,3,1523,6,Premium,City,3,6,1831.45
Van,13,2656,9,VIP,City,3,6,4152.02
SUV,15,501,8,VIP,City,2,3,2030.68
Sedan,18,2386,8,Premium,City,1,1,3680.87
Luxury,19,1214,7,Premium,Airport,3,4,2973.96
Van,1,1157,9,VIP,City,2,6,1839.79
SUV,6,2488,2,VIP,Airport,1,2,3251.14
Van,2,264,3,Premium,Suburban,3,7,715.78
Luxury,14,1599,8,Basic,City,2,7,2769.83
Luxury,6,2312,6,Premium,Airport,3,4,2833.53
Hatchback,14,177,9,VIP,Suburban,2,4,1628.05
Mini Bus,4,1895,4,Premium,Suburban,2,1,2517.29
Mini Bus,8,809,8,Basic,Suburban,3,2,1868.27
SUV,3,2501,3,Premium,Airport,3,9,2810.24
Luxury,19,1865,3,VIP,City,2,8,3213.56
Hatchback,14,2435,8,Premium,City,1,8,3274.48
Hatchback,17,2928,5,VIP,Airport,3,9,4296.02
Van,8,2811,3,VIP,City,2,7,3541.63
Van,14,410,1,Premium,Airport,2,9,1274.06
Hatchback,6,618,3,VIP,City,1,2,1342.69
Van,16,1465,9,VIP,Suburban,1,6,2758.04
Luxury,19,2315,5,Basic,City,1,3,3392.65
Sedan,14,1647,2,Basic,Airport,3,6,2675.88
Luxury,19,1742,7,Basic,Airport,2,3,3140.09
Hatchback,3,251,2,Basic,Suburban,2,8,552.83
Hatchback,10,2114,4,VIP,Airport,2,4,3095.6
Luxury,19,2419,7,Premium,City,1,6,3690.75
Van,9,567,4,VIP,City,2,9,1255.48
Van,13,1398,7,VIP,Suburban,3,2,2928.5
Mini Bus,7,1485,7,VIP,Airport,1,2,2323.88
Hatchback,14,1391,1,Premium,Suburban,1,7,2247.92
SUV,9,730,6,Basic,City,1,2,1450.22
Mini Bus,19,2038,9,VIP,Suburban,1,2,3676.7
Van,15,1541,2,VIP,Airport,3,4,2955.67
Luxury,14,474,3,Basic,Suburban,2,9,1215.54
Van,6,2018,5,VIP,Airport,3,8,2741.53
Luxury,4,1762,9,Premium,Airport,2,2,2386.92
Mini Bus,8,2484,4,VIP,City,3,8,3384.18
Hatchback,17,827,1,VIP,City,1,4,2045.54
Van,9,2195,4,Basic,City,1,2,2655.2
Luxury,1,1876,6,VIP,Airport,3,7,2300.25
Hatchback,14,257,5,VIP,Suburban,3,6,1565.22
SUV,11,1587,1,Premium,Airport,2,5,2371.37
Luxury,3,1709,4,Basic,City,3,1,2109.75
Mini Bus,9,2683,6,Basic,City,3,2,3435.31
